date,close
28-Oct-11,23.44
29-Oct-11,22.88
30-Oct-11,23.94
31-Oct-11,25.63
1-Nov-11,23.63
2-Nov-11,22.83
3-Nov-11,22.13
4-Nov-11,22.36
5-Nov-11,23.30
6-Nov-11,24.21
7-Nov-11,24.37
8-Nov-11,24.49
9-Nov-11,19.90
10-Nov-11,19.92
11-Nov-11,21.51
12-Nov-11,22.07
13-Nov-11,21.18
14-Nov-11,21.33
15-Nov-11,22.90
16-Nov-11,22.41
17-Nov-11,20.19
18-Nov-11,19.98
19-Nov-11,20.22
20-Nov-11,20.94
21-Nov-11,21.68
22-Nov-11,23.70
23-Nov-11,24.49
24-Nov-11,19.35
25-Nov-11,17.28
26-Nov-11,20.56
27-Nov-11,22.25
28-Nov-11,22.91
29-Nov-11,17.58
30-Nov-11,17.52
1-Dec-11,19.14
2-Dec-11,19.42
3-Dec-11,19.68
4-Dec-11,19.08
5-Dec-11,17.46
6-Dec-11,17.69
7-Dec-11,15.86
8-Dec-11,16.43
9-Dec-11,15.69
10-Dec-11,15.83
11-Dec-11,15.84
12-Dec-11,15.67
13-Dec-11,16.39
14-Dec-11,13.25
15-Dec-11,15.26
16-Dec-11,17.07
17-Dec-11,18.74
18-Dec-11,20.19
19-Dec-11,18.39
20-Dec-11,20.78
21-Dec-11,22.33
22-Dec-11,22.37
23-Dec-11,21.43
24-Dec-11,17.11
25-Dec-11,19.09
26-Dec-11,19.30
27-Dec-11,18.69
28-Dec-11,19.06
29-Dec-11,19.11
30-Dec-11,16.49
31-Dec-11,15.28
